variant,total_return,cagr,mdd,ann_vol,sharpe,sortino,exposure,avg_cash,trades,final_value
full_c20_d40,2.4052,0.0632,0.2573,0.0945,0.6972,0.816,0.9972,0.8105,290,34052.04
full_c100_d200,6.1235,0.1032,0.4246,0.1961,0.6002,0.7124,0.9972,0.5553,209,71235.2
