variant,period,cost,total_contrib,final_value,profit,MWRR,MDD,ann_vol,sharpe_approx,end_cash,n_trades,vs_imm_pct
P2_xsec_mom,OOS-B,0.0,30600.0,110360.57,79760.57,0.290413,0.345164,0.533743,0.5441,90.99,305,-20.86
P2_xsec_mom,OOS-B,0.0005,30600.0,108379.88,77779.88,0.286327,0.346474,0.53377,0.5364,104.85,301,
P3_static_lev,OOS-B,0.0,30600.0,124578.27,93978.27,0.317807,0.572599,0.586925,0.5415,128.28,339,-10.66
P3_static_lev,OOS-B,0.0005,30600.0,124417.84,93817.84,0.317515,0.572739,0.586845,0.5411,110.66,338,
WIN_static_TQQQ60UPRO40,OOS-B,0.0,30600.0,159773.99,129173.99,0.374435,0.717654,0.747113,0.5012,48.48,200,14.58
WIN_static_TQQQ60UPRO40,OOS-B,0.0005,30600.0,159469.81,128869.81,0.373999,0.718056,0.747269,0.5005,135.72,199,
WIN_imm_TQQQ100,OOS-B,0.0,30600.0,186709.8,156109.8,0.410215,0.787723,0.798325,0.5138,3.68,111,33.89
WIN_imm_TQQQ100,OOS-B,0.0005,30600.0,186634.24,156034.24,0.410122,0.787698,0.798339,0.5137,10.99,109,
MIX_TQQQ50UPRO30TLT20,OOS-B,0.0,30600.0,126384.99,95784.99,0.321069,0.642592,0.634882,0.5057,66.93,277,-9.37
MIX_TQQQ50UPRO30TLT20,OOS-B,0.0005,30600.0,126282.96,95682.96,0.320886,0.642574,0.634772,0.5055,190.58,274,
